Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
2/11/2012,216,6,6653,59,255,6398,-6143,0.93,0.632,0.293,0.978,13139,2349,115724,2296
2/12/2012,217,0,259,26,195,64,131,0.198,0.297,0.227,0.213,15336,2773,127477,2723
2/13/2012,218,1,10127,84,7093,3034,4059,0.981,0.765,0.976,0.926,33735,4257,219135,4120
2/14/2012,219,2,7246,109,6938,311,6627,0.936,0.818,0.974,0.546,39118,7921,190506,7774
2/15/2012,220,3,112,15,72,37,35,0.103,0.168,0.113,0.143,29917,4133,216675,3994
2/16/2012,221,4,2431,70,1558,906,652,0.729,0.7,0.744,0.767,28548,3480,611896,3372
2/17/2012,222,5,754,33,395,314,81,0.451,0.39,0.409,0.55,21201,2495,418854,2394
2/18/2012,223,6,282,29,146,134,12,0.217,0.335,0.168,0.341,11111,2436,136438,2400
2/19/2012,224,0,523,42,303,220,83,0.35,0.499,0.345,0.462,13490,3722,105258,3659
2/20/2012,225,1,323,27,270,53,217,0.244,0.314,0.312,0.181,26238,4054,196395,3944
2/21/2012,226,2,687,63,468,219,249,0.421,0.649,0.455,0.457,30493,3496,194362,3376
2/22/2012,227,3,1936,89,1764,172,1592,0.67,0.776,0.776,0.394,37806,6186,215383,6041
2/23/2012,228,4,3446,77,802,2644,-1842,0.814,0.734,0.58,0.911,35941,4680,204148,4556
2/24/2012,229,5,926,36,613,313,300,0.489,0.413,0.523,0.548,34500,2807,202023,2689
2/25/2012,230,6,,,,,,,,,,14083,2705,101907,2663
2/26/2012,231,0,2871,54,1284,1587,-303,0.77,0.597,0.704,0.835,15105,3390,110677,3324
2/27/2012,232,1,1962,66,1232,730,502,0.675,0.675,0.698,0.738,38682,5326,243357,5238
2/28/2012,233,2,1397,74,941,456,485,0.586,0.717,0.639,0.632,26139,3369,206450,3263
2/29/2012,234,3,425,25,359,79,280,0.301,0.267,0.392,0.236,28738,4107,194909,3957
3/1/2012,235,4,273,14,223,37,186,0.21,0.149,0.255,0.143,33266,5544,196566,5423
